,,,,,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,,,,,
,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,,,Monthly,Real,,,,,,,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized ,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,134.80,6.99, 	223.92 ,11.78, 	19.56 ,NA,,NA,,,1.00,2.32,10.42%,4.97%,5.46%,,,,
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,134.77,7.04, 	224.83 ,11.94, 	19.92 ,NA,,NA,,,1.00,2.35,10.23%,4.73%,5.50%,,,,
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,135.91,7.08, 	227.72 ,12.11, 	20.29 ,NA,,NA,,,1.00,2.39,9.77%,4.49%,5.28%,,,,
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,138.27,7.21, 	232.68 ,12.42, 	20.91 ,NA,,NA,,,1.00,2.46,9.37%,4.25%,5.11%,,,,
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,141.83,7.20, 	239.68 ,12.51, 	21.14 ,NA,,NA,,,1.00,2.44,9.68%,4.74%,4.94%,,,,
1879.02,3.71,0.18,0.32,8.37,1879.12,4.20,145.31,7.18, 	246.57 ,12.60, 	21.38 ,NA,,NA,,,1.00,2.42,9.66%,4.97%,4.69%,,,,
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,144.60,7.33, 	246.41 ,12.97, 	22.11 ,NA,,NA,,,1.00,2.46,9.61%,4.96%,4.66%,,,,
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,151.09,7.48, 	258.53 ,13.36, 	22.86 ,NA,,NA,,,1.00,2.50,9.10%,4.82%,4.29%,,,,
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,157.91,7.55, 	271.27 ,13.59, 	23.35 ,NA,,NA,,,1.00,2.52,9.18%,5.06%,4.12%,,,,
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,160.57,7.70, 	276.95 ,13.99, 	24.13 ,NA,,NA,,,1.00,2.56,9.17%,4.92%,4.26%,,,,
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,161.91,7.68, 	280.37 ,14.06, 	24.34 ,NA,,NA,,,1.00,2.54,8.85%,5.02%,3.83%,,,,
1879.08,4.07,0.19,0.36,8.18,1879.62,4.10,163.12,7.75, 	283.57 ,14.30, 	24.85 ,NA,,NA,,,1.00,2.55,8.91%,5.00%,3.91%,,,,
1879.09,4.22,0.20,0.36,8.47,1879.71,4.09,163.43,7.55, 	285.20 ,14.04, 	24.50 ,NA,,NA,,,1.00,2.48,9.01%,5.21%,3.80%,,,,
1879.1,4.68,0.20,0.37,8.94,1879.79,4.07,171.60,7.21, 	300.52 ,13.50, 	23.65 ,NA,,NA,,,1.00,2.36,8.28%,5.77%,2.51%,,,,
1879.11,4.93,0.20,0.37,9.42,1879.87,4.05,171.64,6.90, 	301.59 ,13.03, 	22.89 ,NA,,NA,,,1.00,2.25,8.18%,6.31%,1.87%,,,,
1879.12,4.92,0.20,0.38,9.70,1879.96,4.04,166.25,6.76, 	293.11 ,12.84, 	22.64 ,NA,,NA,,,1.00,2.19,8.33%,6.47%,1.86%,,,,
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,167.74,6.73, 	296.72 ,12.78, 	22.60 ,NA,,NA,,,1.01,2.14,8.62%,7.03%,1.59%,,,,
1880.02,5.20,0.21,0.40,9.99,1880.12,3.99,170.69,6.89, 	302.96 ,13.07, 	23.21 ,NA,,NA,,,1.01,2.15,8.31%,6.99%,1.33%,,,,
1880.03,5.30,0.22,0.41,10.09,1880.21,3.97,172.33,6.99, 	306.91 ,13.25, 	23.60 ,NA,,NA,,,1.01,2.14,8.13%,7.04%,1.08%,,,,
1880.04,5.18,0.22,0.42,9.70,1880.29,3.94,175.04,7.43, 	312.83 ,14.08, 	25.17 ,NA,,NA,,,1.01,2.24,8.18%,6.59%,1.59%,,,,
1880.05,4.77,0.23,0.43,9.42,1880.37,3.91,166.07,7.83, 	297.97 ,14.82, 	26.60 ,NA,,NA,,,1.01,2.32,9.07%,6.10%,2.97%,,,,
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,170.20,8.17, 	306.61 ,15.46, 	27.84 ,NA,,NA,,,1.01,2.38,8.71%,5.84%,2.87%,,,,
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,178.02,8.35, 	321.94 ,15.78, 	28.54 ,NA,,NA,,,1.01,2.39,8.14%,5.80%,2.34%,,,,
1880.08,5.19,0.24,0.45,9.23,1880.62,3.83,184.41,8.53, 	334.80 ,16.11, 	29.24 ,NA,,NA,,,1.01,2.41,7.11%,5.38%,1.73%,,,,
